date,language,value
2011/05/31,pa,0
2011/06/30,pa,0
2011/07/31,pa,0
2011/08/31,pa,1
2011/09/30,pa,44
2011/10/31,pa,4
2011/11/30,pa,0
2011/12/31,pa,0
2012/01/31,pa,0
2012/02/29,pa,1
2012/03/31,pa,0
2012/04/30,pa,0
2012/05/31,pa,0
2012/06/30,pa,2
2012/07/31,pa,1
2012/08/31,pa,4
2012/09/30,pa,4
2012/10/31,pa,3
2012/11/30,pa,19
2012/12/31,pa,14
2013/01/31,pa,10
2008/01/31,pi,0
2008/02/29,pi,0
2008/03/31,pi,0
2008/04/30,pi,0
2008/05/31,pi,0
2008/06/30,pi,0
2008/07/31,pi,0
2008/08/31,pi,0
2008/09/30,pi,0
2008/10/31,pi,0
2008/11/30,pi,0
2008/12/31,pi,0
2009/01/31,pi,0
2009/02/28,pi,0
2009/03/31,pi,0
2009/04/30,pi,0
2009/05/31,pi,0
2009/06/30,pi,0
2009/07/31,pi,0
2009/08/31,pi,0
2009/09/30,pi,0
2009/10/31,pi,0
2009/11/30,pi,0
2009/12/31,pi,0
2010/01/31,pi,0
2010/02/28,pi,0
2010/03/31,pi,0
2010/04/30,pi,0
2010/05/31,pi,0
2010/06/30,pi,0
2010/07/31,pi,0
2010/08/31,pi,0
2010/09/30,pi,0
2010/10/31,pi,0
2010/11/30,pi,0
2010/12/31,pi,0
2011/01/31,pi,0
2011/02/28,pi,0
2011/03/31,pi,0
2011/04/30,pi,0
2011/05/31,pi,12
2011/06/30,pi,15
2011/07/31,pi,0
2011/08/31,pi,0
2011/09/30,pi,0
2011/10/31,pi,0
2011/11/30,pi,0
2011/12/31,pi,0
2012/01/31,pi,0
2012/02/29,pi,0
2012/03/31,pi,0
2012/04/30,pi,0
2012/05/31,pi,0
2012/06/30,pi,0
2012/07/31,pi,0
2012/08/31,pi,0
2012/09/30,pi,0
2012/10/31,pi,0
2012/11/30,pi,0
2012/12/31,pi,0
2013/01/31,pi,0
2008/01/31,sa,0
2008/02/29,sa,0
2008/03/31,sa,0
2008/04/30,sa,0
2008/05/31,sa,0
2008/06/30,sa,0
2008/07/31,sa,0
2008/08/31,sa,0
2008/09/30,sa,0
2008/10/31,sa,0
2008/11/30,sa,0
2008/12/31,sa,0
2009/01/31,sa,0
2009/02/28,sa,0
2009/03/31,sa,0
2009/04/30,sa,0
2009/05/31,sa,0
2009/06/30,sa,0
2009/07/31,sa,0
2009/08/31,sa,0
2009/09/30,sa,0
2009/10/31,sa,0
2009/11/30,sa,0
2009/12/31,sa,0
2010/01/31,sa,1
2010/02/28,sa,0
2010/03/31,sa,1
2010/04/30,sa,0
2010/05/31,sa,0
2010/06/30,sa,1
2010/07/31,sa,0
2010/08/31,sa,0
2010/09/30,sa,0
2010/10/31,sa,1
2010/11/30,sa,2
2010/12/31,sa,0
2011/01/31,sa,0
2011/02/28,sa,0
2011/03/31,sa,5
2011/04/30,sa,6
2011/05/31,sa,19
2011/06/30,sa,4
2011/07/31,sa,1
2011/08/31,sa,10
2011/09/30,sa,28
2011/10/31,sa,11
2011/11/30,sa,22
2011/12/31,sa,18
2012/01/31,sa,11
2012/02/29,sa,8
2012/03/31,sa,4
2012/04/30,sa,5
2012/05/31,sa,4
2012/06/30,sa,2
2012/07/31,sa,4
2012/08/31,sa,2
2012/09/30,sa,4
2012/10/31,sa,3
2012/11/30,sa,14
2012/12/31,sa,4
2013/01/31,sa,7
2008/01/31,sd,0
2008/02/29,sd,0
2008/03/31,sd,0
2008/04/30,sd,0
2008/05/31,sd,0
2008/06/30,sd,0
2008/07/31,sd,0
2008/08/31,sd,0
2008/09/30,sd,0
2008/10/31,sd,0
2008/11/30,sd,0
2008/12/31,sd,0
2009/01/31,sd,0
2009/02/28,sd,0
2009/03/31,sd,0
2009/04/30,sd,0
2009/05/31,sd,0
2009/06/30,sd,0
2009/07/31,sd,0
2009/08/31,sd,0
2009/09/30,sd,0
2009/10/31,sd,0
2009/11/30,sd,0
2009/12/31,sd,0
2010/01/31,sd,0
2010/02/28,sd,0
2010/03/31,sd,0
2010/04/30,sd,0
2010/05/31,sd,0
2010/06/30,sd,0
2010/07/31,sd,0
2010/08/31,sd,0
2010/09/30,sd,0
2010/10/31,sd,0
2010/11/30,sd,0
2010/12/31,sd,0
2011/01/31,sd,0
2011/02/28,sd,0
2011/03/31,sd,0
2011/04/30,sd,0
2011/05/31,sd,0
2011/06/30,sd,0
2011/07/31,sd,1
2011/08/31,sd,0
2011/09/30,sd,0
2011/10/31,sd,0
2011/11/30,sd,1
2011/12/31,sd,0
2012/01/31,sd,0
2012/02/29,sd,0
2012/03/31,sd,0
2012/04/30,sd,0
2012/05/31,sd,0
2012/06/30,sd,0
2012/07/31,sd,0
2012/08/31,sd,0
2012/09/30,sd,0
2012/10/31,sd,0
2012/11/30,sd,0
2012/12/31,sd,0
2013/01/31,sd,0
2008/01/31,ta,10
2008/02/29,ta,11
2008/03/31,ta,13
2008/04/30,ta,10
2008/05/31,ta,10
2008/06/30,ta,13
2008/07/31,ta,12
2008/08/31,ta,14
2008/09/30,ta,12
2008/10/31,ta,11
2008/11/30,ta,11
2008/12/31,ta,11
2009/01/31,ta,9
2009/02/28,ta,12
2009/03/31,ta,16
2009/04/30,ta,15
2009/05/31,ta,7
2009/06/30,ta,12
2009/07/31,ta,8
2009/08/31,ta,9
2009/09/30,ta,9
2009/10/31,ta,11
2009/11/30,ta,10
2009/12/31,ta,12
2010/01/31,ta,14
2010/02/28,ta,15
2010/03/31,ta,13
2010/04/30,ta,15
2010/05/31,ta,9
2010/06/30,ta,16
2010/07/31,ta,16
2010/08/31,ta,20
2010/09/30,ta,22
2010/10/31,ta,25
2010/11/30,ta,18
2010/12/31,ta,21
2011/01/31,ta,24
2011/02/28,ta,36
2011/03/31,ta,35
2011/04/30,ta,52
2011/05/31,ta,42
2011/06/30,ta,45
2011/07/31,ta,31
2011/08/31,ta,50
2011/09/30,ta,55
2011/10/31,ta,72
2011/11/30,ta,56
2011/12/31,ta,39
2012/01/31,ta,33
2012/02/29,ta,21
2012/03/31,ta,21
2012/04/30,ta,21
2012/05/31,ta,22
2012/06/30,ta,23
2012/07/31,ta,18
2012/08/31,ta,13
2012/09/30,ta,17
2012/10/31,ta,19
2012/11/30,ta,17
2012/12/31,ta,25
2013/01/31,ta,26
2008/01/31,te,9
2008/02/29,te,21
2008/03/31,te,16
2008/04/30,te,10
2008/05/31,te,10
2008/06/30,te,11
2008/07/31,te,14
2008/08/31,te,7
2008/09/30,te,8
2008/10/31,te,6
2008/11/30,te,7
2008/12/31,te,12
2009/01/31,te,10
2009/02/28,te,8
2009/03/31,te,7
2009/04/30,te,8
2009/05/31,te,8
2009/06/30,te,12
2009/07/31,te,6
2009/08/31,te,4
2009/09/30,te,4
2009/10/31,te,6
2009/11/30,te,8
2009/12/31,te,5
2010/01/31,te,3
2010/02/28,te,3
2010/03/31,te,5
2010/04/30,te,6
2010/05/31,te,6
2010/06/30,te,6
2010/07/31,te,7
2010/08/31,te,8
2010/09/30,te,8
2010/10/31,te,12
2010/11/30,te,21
2010/12/31,te,14
2011/01/31,te,9
2011/02/28,te,8
2011/03/31,te,6
2011/04/30,te,5
2011/05/31,te,7
2011/06/30,te,6
2011/07/31,te,7
2011/08/31,te,7
2011/09/30,te,10
2011/10/31,te,7
2011/11/30,te,19
2011/12/31,te,6
2012/01/31,te,6
2012/02/29,te,7
2012/03/31,te,5
2012/04/30,te,3
2012/05/31,te,4
2012/06/30,te,4
2012/07/31,te,4
2012/08/31,te,5
2012/09/30,te,4
2012/10/31,te,4
2012/11/30,te,4
2012/12/31,te,6
2013/01/31,te,8
2008/01/31,ur,4
2008/02/29,ur,8
2008/03/31,ur,12
2008/04/30,ur,4
2008/05/31,ur,3
2008/06/30,ur,3
2008/07/31,ur,4
2008/08/31,ur,12
2008/09/30,ur,12
2008/10/31,ur,12
2008/11/30,ur,12
2008/12/31,ur,9
2009/01/31,ur,9
2009/02/28,ur,6
2009/03/31,ur,8
2009/04/30,ur,6
2009/05/31,ur,5
2009/06/30,ur,3
2009/07/31,ur,5
2009/08/31,ur,5
