date,language,views
2010/11/30,bpy,658923
2010/11/30,gu,560243
2010/11/30,hi,4930634
2010/11/30,kn,1014537
2010/11/30,ks,60967
2010/11/30,ml,1617107
2010/11/30,mr,2503724
2010/11/30,ne,293721
2010/11/30,new,614887
2010/11/30,or,47923
2010/11/30,pi,187568
2010/11/30,pa,94754
2010/11/30,sa,194104
2010/11/30,sd,54604
2010/11/30,ta,2788919
2010/11/30,te,1687421
2010/11/30,ur,1101043
2010/11/30,Total,20640668
2010/12/31,as,97717
2010/12/31,bh,185491
2010/12/31,bn,2619266
2010/12/31,bpy,808578
2010/12/31,gu,651757
2010/12/31,hi,7848740
2010/12/31,kn,1127597
2010/12/31,ks,67143
2010/12/31,ml,1825301
2010/12/31,mr,2888354
2010/12/31,ne,365477
2010/12/31,new,929074
2010/12/31,or,60725
2010/12/31,pi,219482
2010/12/31,pa,133711
2010/12/31,sa,233595
2010/12/31,sd,77096
2010/12/31,ta,3256506
2010/12/31,te,2130999
2010/12/31,ur,1309476
2010/12/31,Total,26836085
2011/01/31,as,79452
2011/01/31,bh,163508
2011/01/31,bn,1874433
2011/01/31,bpy,691311
2011/01/31,gu,604616
2011/01/31,hi,4880896
2011/01/31,kn,1130587
2011/01/31,ks,59277
2011/01/31,ml,1681364
2011/01/31,mr,2738452
2011/01/31,ne,359873
2011/01/31,new,798218
2011/01/31,or,54617
2011/01/31,pi,195137
2011/01/31,pa,113850
2011/01/31,sa,234378
2011/01/31,sd,58974
2011/01/31,ta,2891053
2011/01/31,te,2215576
2011/01/31,ur,1156828
2011/01/31,Total,21982400
2011/02/28,as,90476
2011/02/28,bh,191001
2011/02/28,bn,2236272
2011/02/28,bpy,749800
2011/02/28,gu,645550
2011/02/28,hi,4720001
2011/02/28,kn,1073387
2011/02/28,ks,49586
2011/02/28,ml,1768080
2011/02/28,mr,2869351
2011/02/28,ne,447874
2011/02/28,new,804140
2011/02/28,or,51448
2011/02/28,pi,196939
2011/02/28,pa,106340
2011/02/28,sa,218508
2011/02/28,sd,54832
2011/02/28,ta,3169971
2011/02/28,te,1961167
2011/02/28,ur,1192050
2011/02/28,Total,22596773
2011/03/31,as,115327
2011/03/31,bh,193981
2011/03/31,bn,2726306
2011/03/31,bpy,965151
2011/03/31,gu,710374
2011/03/31,hi,5293557
2011/03/31,kn,1313783
2011/03/31,ks,67105
2011/03/31,ml,2095761
2011/03/31,mr,3115053
2011/03/31,ne,556288
2011/03/31,new,1028072
2011/03/31,or,111095
2011/03/31,pi,233963
2011/03/31,pa,148264
2011/03/31,sa,251620
2011/03/31,sd,69128
2011/03/31,ta,3679184
2011/03/31,te,2426691
2011/03/31,ur,1413756
2011/03/31,Total,26514459
2011/04/30,as,97069
2011/04/30,bh,158829
2011/04/30,bn,1960564
2011/04/30,bpy,654946
2011/04/30,gu,687710
2011/04/30,hi,5095131
2011/04/30,kn,1206679
2011/04/30,ks,59113
2011/04/30,ml,1760832
2011/04/30,mr,2459340
2011/04/30,ne,465415
2011/04/30,new,701044
2011/04/30,or,137267
